algorithm,feature,metric,count,pearson,spearman
zstd,unique_byte_count,compression_ratio,1008,0.43557309577022546,0.33169339692711303
zstd,unique_byte_count,compression_time_ms,1008,-0.17644342425910298,-0.062015494527185112
zstd,unique_byte_count,decompression_time_ms,1008,-0.1559091914838644,-0.15523703660890137
zstd,most_common_byte_ratio,compression_ratio,1008,-0.24270269045190393,-0.23024690063037756
zstd,most_common_byte_ratio,compression_time_ms,1008,0.13961029234984301,0.16564459018404881
zstd,most_common_byte_ratio,decompression_time_ms,1008,0.16292625029272687,0.27004445270965749
zstd,zero_byte_ratio,compression_ratio,1008,0.08306278897936295,0.25361604243828079
zstd,zero_byte_ratio,compression_time_ms,1008,-0.091610316429386288,-0.084243350485868007
zstd,zero_byte_ratio,decompression_time_ms,1008,-0.082347551101555214,-0.17155764593376893
zstd,adjacent_repeat_ratio,compression_ratio,1008,-0.43307029024820709,-0.083917106719913065
zstd,adjacent_repeat_ratio,compression_time_ms,1008,-0.096859194581750102,0.15713416110802636
zstd,adjacent_repeat_ratio,decompression_time_ms,1008,-0.02744585248195763,0.28325764606031562
zstd,average_run_length,compression_ratio,1008,-0.25448643148299777,-0.083999942011387135
zstd,average_run_length,compression_time_ms,1008,-0.098474715906189836,0.15832316335974975
zstd,average_run_length,decompression_time_ms,1008,-0.062994746256943512,0.28443603912259519
zstd,max_run_length,compression_ratio,1008,-0.16502245224572334,0.025920082374964473
zstd,max_run_length,compression_time_ms,1008,-0.042637445192050941,0.23215405992221477
zstd,max_run_length,decompression_time_ms,1008,-0.026676130510301085,0.32530414178401423
zstd,duplicate_block_ratio,compression_ratio,1008,-0.75161902633639566,-0.89729723468606792
zstd,duplicate_block_ratio,compression_time_ms,1008,-0.22043517883043423,-0.20285972439525149
zstd,duplicate_block_ratio,decompression_time_ms,1008,-0.11444620951673765,-0.017251847600014362
zstd,bigram_diversity,compression_ratio,1008,0.76397793462135544,0.58552385867896295
zstd,bigram_diversity,compression_time_ms,1008,-0.018522819453345444,-0.010451942759658793
zstd,bigram_diversity,decompression_time_ms,1008,-0.034119552615801199,-0.15033276935084652
zstd,segment_entropy_mean,compression_ratio,1008,0.58950360113241096,0.33534977015668938
zstd,segment_entropy_mean,compression_time_ms,1008,-0.18142947016276559,-0.17709759202923592
zstd,segment_entropy_mean,decompression_time_ms,1008,-0.19348028008915211,-0.3186531676520592
zstd,segment_entropy_std,compression_ratio,1008,-0.0043257708429066625,0.18325948315964669
zstd,segment_entropy_std,compression_time_ms,1008,0.041057538306658023,0.15776400382522179
zstd,segment_entropy_std,decompression_time_ms,1008,0.028338378632411131,0.19305760577263084
