sample_id,algorithm,original_size,compressed_size,compression_ratio,compression_time_ms,decompression_time_ms,verified
sample_000058,bz2,65536,22932,0.34991455078125,5.6324,2.5896,True
sample_000058,lzma,65536,20968,0.3199462890625,26.5051,2.032,True
sample_000058,zstd,65536,27294,0.416473388671875,0.4451,0.074,True
sample_000059,gzip,65536,20516,0.31304931640625,5.9577,0.1459,True
sample_000059,bz2,65536,20243,0.3088836669921875,14.155,2.0112,True
sample_000059,lzma,65536,18492,0.28216552734375,23.8926,1.4397,True
sample_000059,zstd,65536,20252,0.30902099609375,0.1999,0.0746,True
sample_000060,gzip,262144,262242,1.0003738403320312,7.3962,0.7148,True
sample_000060,bz2,262144,263739,1.0060844421386719,36.6609,17.0637,True
sample_000060,lzma,262144,262216,1.000274658203125,66.119,0.4564,True
sample_000060,zstd,262144,262159,1.0000572204589844,0.4135,0.0242,True
sample_000061,gzip,262144,76060,0.2901458740234375,177.2624,0.5268,True
sample_000061,bz2,262144,71804,0.2739105224609375,17.8325,8.2428,True
sample_000061,lzma,262144,73000,0.278472900390625,87.3304,4.9245,True
sample_000061,zstd,262144,85767,0.3271751403808594,2.8026,0.6566,True
sample_000062,gzip,262144,890,0.00339508056640625,0.7903,0.3385,True
sample_000062,bz2,262144,263,0.001003265380859375,76.6888,3.2714,True
sample_000062,lzma,262144,240,0.00091552734375,6.5804,0.4613,True
sample_000062,zstd,262144,98,0.00037384033203125,0.189,0.0097,True
sample_000063,gzip,262144,32432,0.12371826171875,12.7088,0.2526,True
sample_000063,bz2,262144,23977,0.09146499633789062,5.4344,2.1413,True
sample_000063,lzma,262144,21480,0.081939697265625,93.8678,2.75,True
sample_000063,zstd,262144,20864,0.07958984375,0.9129,0.3865,True
sample_000064,gzip,262144,102461,0.3908576965332031,33.4816,0.8919,True
sample_000064,bz2,262144,88791,0.3387107849121094,24.76,9.951,True
sample_000064,lzma,262144,77832,0.296905517578125,85.4865,5.4191,True
sample_000064,zstd,262144,114594,0.43714141845703125,2.0248,1.0552,True
sample_000065,gzip,262144,108323,0.4132194519042969,7.7583,1.2962,True
sample_000065,bz2,262144,106131,0.4048576354980469,43.268,8.1078,True
sample_000065,lzma,262144,101044,0.3854522705078125,49.4531,6.7517,True
sample_000065,zstd,262144,111122,0.42389678955078125,1.0656,0.2376,True
