sample_id,algorithm,original_size,compressed_size,compression_ratio,compression_time_ms,decompression_time_ms,verified
sample_000049,zstd,16384,5552,0.3388671875,0.1629,0.0564,True
sample_000050,gzip,16384,269,0.01641845703125,0.054,0.0285,True
sample_000050,bz2,16384,380,0.023193359375,3.6257,0.3136,True
sample_000050,lzma,16384,256,0.015625,5.8235,0.1077,True
sample_000050,zstd,16384,148,0.009033203125,0.03,0.005,True
sample_000051,gzip,16384,1934,0.1180419921875,0.4738,0.0295,True
sample_000051,bz2,16384,2412,0.147216796875,1.1455,0.3843,True
sample_000051,lzma,16384,1464,0.08935546875,11.6536,0.2253,True
sample_000051,zstd,16384,1327,0.08099365234375,0.0533,0.0496,True
sample_000052,gzip,16384,7124,0.434814453125,0.9533,0.1145,True
sample_000052,bz2,16384,6070,0.3704833984375,2.3947,0.7068,True
sample_000052,lzma,16384,5916,0.361083984375,10.7963,0.6788,True
sample_000052,zstd,16384,7370,0.4498291015625,0.2462,0.059,True
sample_000053,gzip,16384,5423,0.33099365234375,0.6291,0.0243,True
sample_000053,bz2,16384,6093,0.37188720703125,2.7007,0.6802,True
sample_000053,lzma,16384,4964,0.302978515625,10.1107,0.4972,True
sample_000053,zstd,16384,5296,0.3232421875,0.0912,0.026,True
sample_000054,gzip,65536,65574,1.000579833984375,2.0294,0.0341,True
sample_000054,bz2,65536,66192,1.010009765625,10.9556,4.7849,True
sample_000054,lzma,65536,65600,1.0009765625,26.3924,0.1595,True
sample_000054,zstd,65536,65546,1.000152587890625,0.0803,0.0117,True
sample_000055,gzip,65536,29311,0.4472503662109375,15.8215,0.1819,True
sample_000055,bz2,65536,25549,0.3898468017578125,6.6099,2.7184,True
sample_000055,lzma,65536,27544,0.4202880859375,25.4284,1.8267,True
sample_000055,zstd,65536,28221,0.4306182861328125,0.505,0.1055,True
sample_000056,gzip,65536,320,0.0048828125,0.1979,0.0395,True
sample_000056,bz2,65536,246,0.003753662109375,13.9317,1.0652,True
sample_000056,lzma,65536,212,0.00323486328125,6.6143,0.2746,True
sample_000056,zstd,65536,84,0.00128173828125,0.049,0.0097,True
sample_000057,gzip,65536,8061,0.1230010986328125,2.3304,0.0977,True
sample_000057,bz2,65536,7078,0.108001708984375,2.6223,0.8301,True
sample_000057,lzma,65536,5472,0.08349609375,29.2798,0.7162,True
sample_000057,zstd,65536,5217,0.0796051025390625,0.1886,0.0905,True
sample_000058,gzip,65536,9065,0.1383209228515625,1.1857,0.0567,True
sample_000058,bz2,65536,5834,0.089019775390625,6.0902,1.2981,True
sample_000058,lzma,65536,7716,0.11773681640625,28.5473,0.4884,True
sample_000058,zstd,65536,10820,0.16510009765625,0.2831,0.1071,True
sample_000059,gzip,65536,22904,0.3494873046875,5.4694,0.1346,True
sample_000059,bz2,65536,21452,0.32733154296875,11.168,1.6253,True
sample_000059,lzma,65536,20912,0.319091796875,19.4498,1.6996,True
sample_000059,zstd,65536,23767,0.3626556396484375,0.2264,0.0913,True
sample_000060,gzip,262144,262242,1.0003738403320312,7.6378,0.3123,True
sample_000060,bz2,262144,263750,1.0061264038085938,36.2636,15.9233,True
sample_000060,lzma,262144,262216,1.000274658203125,83.6923,0.3583,True
sample_000060,zstd,262144,262159,1.0000572204589844,0.5925,0.0445,True
sample_000061,gzip,262144,76010,0.28995513916015625,266.4631,0.7767,True
sample_000061,bz2,262144,71743,0.2736778259277344,27.7779,11.2914,True
sample_000061,lzma,262144,72892,0.2780609130859375,153.146,5.4298,True
sample_000061,zstd,262144,85826,0.32740020751953125,3.126,0.6564,True
sample_000062,gzip,262144,1099,0.004192352294921875,0.9314,0.2214,True
sample_000062,bz2,262144,473,0.001804351806640625,63.0562,4.5075,True
sample_000062,lzma,262144,312,0.001190185546875,10.4386,0.4052,True
sample_000062,zstd,262144,162,0.00061798095703125,0.3441,0.0275,True
sample_000063,gzip,262144,32395,0.12357711791992188,10.6718,0.3567,True
sample_000063,bz2,262144,23925,0.09126663208007812,6.8184,3.0226,True
sample_000063,lzma,262144,21444,0.0818023681640625,91.7808,2.6957,True
sample_000063,zstd,262144,20826,0.07944488525390625,1.1343,0.4169,True
sample_000064,gzip,262144,34811,0.13279342651367188,10.2379,0.487,True
sample_000064,bz2,262144,21062,0.08034515380859375,31.1127,5.8762,True
sample_000064,lzma,262144,27688,0.105621337890625,128.1075,2.868,True
sample_000064,zstd,262144,42596,0.1624908447265625,1.4609,0.5181,True
sample_000065,gzip,262144,72051,0.2748527526855469,61.0514,0.408,True
sample_000065,bz2,262144,68354,0.26074981689453125,59.0952,7.0004,True
sample_000065,lzma,262144,67404,0.2571258544921875,72.1995,5.7961,True
sample_000065,zstd,262144,73322,0.27970123291015625,1.0627,0.2467,True
sample_000066,gzip,1048576,1048914,1.0003223419189453,33.94,1.491,True
sample_000066,bz2,1048576,1053712,1.0048980712890625,177.472,181.1669,True
sample_000066,lzma,1048576,1048688,1.0001068115234375,338.5941,2.2254,True
sample_000066,zstd,1048576,1048609,1.0000314712524414,1.0465,0.4385,True
sample_000067,gzip,1048576,157171,0.14988994598388672,1578.1746,1.8991,True
sample_000067,bz2,1048576,168011,0.16022777557373047,101.0741,116.6597,True
sample_000067,lzma,1048576,143208,0.13657379150390625,1206.6444,9.603,True
sample_000067,zstd,1048576,195942,0.18686485290527344,5.2218,2.572,True
sample_000068,gzip,1048576,3766,0.0035915374755859375,2.8555,0.8916,True
sample_000068,bz2,1048576,1054,0.0010051727294921875,396.8735,11.3231,True
sample_000068,lzma,1048576,420,0.000400543212890625,22.1355,3.264,True
sample_000068,zstd,1048576,234,0.0002231597900390625,0.6098,0.4356,True
sample_000069,gzip,1048576,9590,0.009145736694335938,37.9841,0.9714,True
sample_000069,bz2,1048576,11428,0.010898590087890625,9.2779,4.5686,True
sample_000069,lzma,1048576,7948,0.007579803466796875,62.0394,3.8379,True
sample_000069,zstd,1048576,9502,0.009061813354492188,0.849,0.9978,True
sample_000070,gzip,1048576,396118,0.37776756286621094,144.6041,4.1285,True
sample_000070,bz2,1048576,342074,0.32622718811035156,103.2898,50.6505,True
sample_000070,lzma,1048576,295396,0.2817115783691406,780.8556,26.9499,True
sample_000070,zstd,1048576,437580,0.4173088073730469,12.1893,3.6046,True
sample_000071,gzip,1048576,304305,0.2902078628540039,221.2615,1.1959,True
sample_000071,bz2,1048576,297519,0.2837362289428711,295.1057,36.8524,True
sample_000071,lzma,1048576,292364,0.2788200378417969,297.038,14.32,True
sample_000071,zstd,1048576,313676,0.2991447448730469,4.2593,1.395,True
sample_000072,gzip,16384,16407,1.00140380859375,0.1839,0.0047,True
sample_000072,bz2,16384,16837,1.02764892578125,3.853,0.9463,True
sample_000072,lzma,16384,16444,1.003662109375,10.2985,0.0463,True
sample_000072,zstd,16384,16394,1.0006103515625,0.0213,0.0014,True
sample_000073,gzip,16384,7568,0.4619140625,1.2496,0.0394,True
sample_000073,bz2,16384,6452,0.393798828125,2.0727,0.4607,True
sample_000073,lzma,16384,7264,0.443359375,10.1363,0.6554,True
sample_000073,zstd,16384,7369,0.44976806640625,0.2867,0.0652,True
sample_000074,gzip,16384,95,0.00579833984375,0.0518,0.0097,True
sample_000074,bz2,16384,95,0.00579833984375,3.9026,0.3325,True
sample_000074,lzma,16384,136,0.00830078125,5.9952,0.0726,True
sample_000074,zstd,16384,34,0.0020751953125,0.0103,0.0032,True
sample_000075,gzip,16384,1897,0.11578369140625,0.4217,0.0296,True
sample_000075,bz2,16384,2379,0.14520263671875,1.1424,0.2688,True
sample_000075,lzma,16384,1452,0.088623046875,10.9636,0.173,True
sample_000075,zstd,16384,1316,0.080322265625,0.0313,0.0183,True
sample_000076,gzip,16384,7136,0.435546875,0.839,0.0573,True
sample_000076,bz2,16384,6068,0.370361328125,2.1913,0.5952,True
sample_000076,lzma,16384,5940,0.362548828125,9.7589,0.6188,True
sample_000076,zstd,16384,7358,0.4490966796875,0.2101,0.0515,True
sample_000077,gzip,16384,4988,0.304443359375,0.6419,0.0231,True
sample_000077,bz2,16384,5357,0.32696533203125,2.35,0.5337,True
sample_000077,lzma,16384,4656,0.2841796875,8.0709,0.2295,True
sample_000077,zstd,16384,4973,0.30352783203125,0.0319,0.008,True
sample_000078,gzip,65536,65574,1.000579833984375,1.9012,0.0111,True
sample_000078,bz2,65536,66201,1.0101470947265625,10.6877,4.1808,True
sample_000078,lzma,65536,65600,1.0009765625,23.77,0.1755,True
sample_000078,zstd,65536,65546,1.000152587890625,0.3835,0.0095,True
sample_000079,gzip,65536,29266,0.446563720703125,8.5527,0.1597,True
sample_000079,bz2,65536,25570,0.390167236328125,4.4397,1.9981,True
sample_000079,lzma,65536,27444,0.41876220703125,23.2083,2.0934,True
sample_000079,zstd,65536,28217,0.4305572509765625,0.8678,0.2036,True
sample_000080,gzip,65536,317,0.0048370361328125,0.1117,0.017,True
sample_000080,bz2,65536,246,0.003753662109375,9.6848,0.4116,True
sample_000080,lzma,65536,212,0.00323486328125,7.0913,0.2699,True
sample_000080,zstd,65536,84,0.00128173828125,0.0493,0.0123,True
sample_000081,gzip,65536,8158,0.124481201171875,2.3197,0.0493,True
sample_000081,bz2,65536,7111,0.1085052490234375,2.8772,0.8576,True
sample_000081,lzma,65536,5504,0.083984375,22.1031,0.745,True
